Valor Arriendo,Valor_Arriendo_SM,Area Construida,Cuartos,Banos,Garajes,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m
2600000,2.0,76.0,3,2,1,3.0,4.622999,-74.12444,324.55354116283246,111.02983825425946,1.0,1.0,1.0,1.0,126.93276600900101,151.53182930603248,52.20953178215814,1.0
1900000,1.4615384615384615,41.0,2,1,0,,4.646133,-74.11761,672.5057724706367,650.2765293854084,1.0,1.0,1.0,1.0,930.1861044592282,698.6277811909039,640.1277848220499,1.0
1050000,0.8076923076923077,5.22,2,1,0,,4.6221266,-74.12861,447.9646701612837,417.3591869169831,1.0,1.0,1.0,1.0,290.38740619555807,82.90345791356584,367.244138313454,1.0
800000,0.6153846153846154,86.0,1,2,0,3.0,4.6267292,-74.1304836,329.07839418780765,206.18859372499782,1.0,1.0,1.0,1.0,61.23623661248927,335.9216153130389,331.32380476788586,1.0
2100000,1.6153846153846154,37.0,1,1,0,3.0,4.618490695953369,-74.12207794189453,439.3611761482289,138.79544190720412,1.0,1.0,1.0,1.0,124.88234006705305,106.71464141889467,419.5135920338087,1.0
1500000,1.1538461538461537,75.0,2,1,0,3.0,4.62321,-74.11445,609.0437932657168,136.81051721686939,1.0,1.0,1.0,1.0,48.88516898851834,212.79135848251272,523.4211145393451,1.0
1731000,1.3315384615384616,51.0,2,2,1,4.0,4.62496,-74.12503,176.75007892964032,136.97666689289304,1.0,1.0,1.0,1.0,350.3046825080319,376.86698431607533,122.8086715774035,1.0
2800000,2.1538461538461537,93.0,3,2,1,4.0,4.628317832946777,-74.1234130859375,276.02642362857586,277.22369645546,1.0,1.0,1.0,1.0,187.44742494420186,291.6296754036191,102.0166230041079,1.0
1490000,1.146153846153846,36.0,2,1,0,3.0,4.63004,-74.12139,301.7046575573077,78.98382849398178,1.0,1.0,1.0,2.0,287.5896306882048,351.44044072536406,90.20738057043587,1.0
2300000,1.7692307692307692,60.0,1,1,1,,4.62368,-74.1193,541.8020522213919,336.0381077562457,1.0,1.0,1.0,1.0,83.7130609266996,20.817742585193045,507.8777408982519,1.0
