Valor Arriendo,Valor_Arriendo_SM,Area Construida,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m
2700000,2.076923076923077,38.0,5.0,4.699257850646973,-74.03050994873047,1267.8934575915137,107.62293561194244,1.0,1.0,1.0,1.0,121.27659580246147,124.89389409770865,109.9656644960051,1.0
10000000,7.6923076923076925,192.0,6.0,4.717130661010742,-74.08129119873047,860.8944495738497,557.5276017566554,1.0,1.0,1.0,1.0,859.6203626973414,891.2883197906408,548.1625568764324,1.0
16000000,12.307692307692308,170.0,,4.650725841522217,-74.05368041992188,920.7305446752557,334.0764958723329,1.0,1.0,1.0,1.0,218.22188821198952,227.26570923512824,371.39133088779613,1.0
3850000,2.9615384615384617,90.0,,4.725222,-74.035,1732.0152409227421,332.4025230627458,1.0,1.0,1.0,1.0,185.70925751300916,146.791730404968,289.8288921577268,1.0
1800000,1.3846153846153846,30.6,4.0,4.7354465,-74.053055,436.77008751882215,7.543838899592227,1.0,1.0,1.0,1.0,256.40538938398186,178.03560165236152,1765.1477941951607,1.0
900000,0.6923076923076923,31.0,,4.5916166,-74.16948,432.00631658478324,64.14405557873016,1.0,1.0,1.0,1.0,497.48470450547927,324.485664560662,871.8180702765319,1.0
4700000,3.6153846153846154,132.0,4.0,4.6184483,-74.06897,229.58040800699283,23.1622907792526,1.0,1.0,1.0,3.0,83.2192533394962,92.69093214955087,63.61447337315592,1.0
3100000,2.3846153846153846,30.0,6.0,4.6815643,-74.05582,326.84281849094975,290.2710843861173,1.0,1.0,1.0,1.0,19.476562719496993,88.3083224033032,102.605780474873,2.0
1450000,1.1153846153846154,36.5,3.0,4.747002124786377,-74.0621109008789,1644.5693268337955,292.20376589323195,3.0,1.0,1.0,1.0,88.80188318685357,139.81936204683774,898.7417815819048,1.0
4320000,3.3230769230769233,100.0,6.0,4.6937885,-74.04552,841.6284168274785,128.98503491206696,1.0,1.0,1.0,1.0,133.00812557656067,315.1868082686608,340.3507966988972,1.0
2350000,1.8076923076923077,70.0,3.0,4.650887966156006,-74.07074737548828,709.4925999841508,104.15048357641047,1.0,1.0,1.0,1.0,172.9748092322837,277.84679160961156,910.6851046605622,1.0
2250000,1.7307692307692308,60.0,4.0,4.6326246,-74.07696,430.73608353266496,156.81903804940467,1.0,1.0,1.0,1.0,138.70485818133386,170.57114063415474,697.5028093472015,1.0
6900000,5.3076923076923075,180.0,,4.708408,-74.04964,669.3956638033003,116.81462710611106,1.0,1.0,1.0,1.0,252.74208626084993,256.56236958873,278.2255726220994,1.0
5300000,4.076923076923077,145.0,,4.674225,-74.05888,183.73939334122701,169.90469782835035,1.0,1.0,1.0,1.0,403.47573987783727,193.90730689254053,419.56572725436763,1.0
1950000,1.5,42.0,3.0,4.6518517,-74.06138,503.7727026160678,74.52830714742983,5.0,1.0,1.0,2.0,69.93861024673332,105.11340121894179,360.238004795085,3.0
4600000,3.5384615384615383,66.0,6.0,4.6775374,-74.045044,639.5532673555215,116.72564504950672,1.0,1.0,1.0,1.0,148.56564528121956,247.97677546894073,496.10576734027194,1.0
2500000,1.9230769230769231,71.0,,4.7602863,-74.02925,282.32869456420445,274.60947836964505,1.0,1.0,1.0,1.0,148.85629257173068,80.52189363153653,57.35920427661355,1.0
2241676,1.7243661538461539,68.0,,4.6456766,-74.06517,46.899328138060866,135.5105670885528,1.0,1.0,1.0,1.0,179.98622205891743,123.55794731619868,231.49985777703785,1.0
1700000,1.3076923076923077,29.0,2.0,4.6444364,-74.05478,1184.715944316394,228.0901063290509,1.0,1.0,1.0,1.0,405.2626316527077,488.45056378358464,159.65852335361384,1.0
1600000,1.2307692307692308,45.0,,4.77814,-74.04991,1240.241091795479,185.46495945095953,1.0,1.0,1.0,1.0,1794.430788426657,1600.8754398775304,1363.7196464348006,1.0
39000000,30.0,363.0,6.0,4.672721,-74.042961,1186.3049766556037,311.3205911768745,1.0,1.0,1.0,1.0,565.2281432199504,584.6988274416371,13.163456849619985,1.0
5443027,4.186943846153846,72.69,,4.68444,-74.05417,217.3514503827415,190.26128772153933,1.0,1.0,1.0,1.0,176.60399159505286,185.33834061596076,191.94511066962295,1.0
2815720,2.1659384615384614,54.8,4.0,4.724468231201172,-74.0439224243164,778.2691960404395,374.850122107376,1.0,1.0,1.0,1.0,217.76012549291406,170.5255983568617,809.5921478485587,1.0
9800000,7.538461538461538,190.0,,4.6736578941345215,-74.04692077636719,1095.8604009904361,118.16480619040371,1.0,1.0,1.0,1.0,209.72300264055676,177.23224118925592,417.0877792897714,1.0
1250000,0.9615384615384616,55.0,,4.766508472,-74.028797974,900.5401463400777,217.34715165903967,1.0,1.0,1.0,1.0,136.2099940108859,175.56151613460185,139.77599254927887,1.0
13900000,10.692307692307692,193.0,,4.692582607269287,-74.05660247802734,62.6944210233226,78.90857939540817,1.0,1.0,1.0,1.0,126.37234179522395,101.20857515277959,617.7933748440562,1.0
2500000,1.9230769230769231,90.0,4.0,4.6794535,-74.0829183,360.109263320091,436.1241486040476,1.0,1.0,1.0,1.0,262.76995336579216,333.9208939267186,153.73093843722594,1.0
4500000,3.4615384615384617,93.0,4.0,4.64944,-74.05718,837.4014012599338,186.64889144673245,1.0,1.0,1.0,1.0,166.52605701759376,49.1354719208477,166.1580642935103,2.0
4850000,3.730769230769231,126.0,6.0,4.75749999,-74.06791999,2447.6955111168386,233.85665477275873,1.0,1.0,1.0,1.0,721.840115456668,544.3630756363617,389.8422287044504,1.0
9500000,7.3076923076923075,189.0,,4.707333088,-74.083687504,1206.0426721154784,237.8216969829068,1.0,1.0,1.0,1.0,909.7045116916182,658.3509571361989,553.5791068308025,1.0
5500000,4.230769230769231,93.0,4.0,4.614586,-74.069701,88.05553815652044,128.31267476337558,1.0,1.0,1.0,1.0,95.38333591481826,179.7234630941784,51.59298680232334,1.0
6500000,5.0,141.3,6.0,4.79182,-74.06022,3130.8944849708837,1402.762815250313,1.0,1.0,1.0,1.0,3660.199988050974,3425.524849212385,2447.3595358152697,1.0
15500000,11.923076923076923,270.0,,4.65988574,-74.04879303,1151.754081808912,257.42613300800787,1.0,1.0,1.0,1.0,356.083875838804,367.1233346428213,135.2831470250139,1.0
12000000,9.23076923076923,297.0,5.0,4.7317355394,-74.0732249862,505.299241181174,41.2835045072319,1.0,1.0,1.0,3.0,598.1389026910197,550.5470102359182,221.34737245271714,1.0
16000000,12.307692307692308,371.0,6.0,4.689044,-74.032527,426.02433526958373,212.17369464350764,1.0,1.0,1.0,1.0,356.8204812715298,290.9829177803315,216.1868505887152,1.0
5500000,4.230769230769231,93.0,4.0,4.614586,-74.069701,88.05553815652044,128.31267476337558,1.0,1.0,1.0,1.0,95.38333591481826,179.7234630941784,51.59298680232334,1.0
14000000,10.76923076923077,344.0,6.0,4.6573362,-74.0510456,864.3978783052306,315.6681744796336,1.0,1.0,1.0,1.0,233.4689268093753,421.1048215553608,261.45552685127944,1.0
23000000,17.692307692307693,686.3,6.0,4.702986,-74.034747,1414.4891322162052,153.2113546141015,1.0,1.0,1.0,1.0,579.047152265687,258.1102390359017,87.44016467169818,1.0
9000000,6.923076923076923,113.0,5.0,4.6879934,-74.044815,518.1857263053182,216.85691705016174,1.0,1.0,1.0,1.0,289.4032674878412,220.25945293412508,101.65891519761526,1.0
1900000,1.4615384615384615,30.0,2.0,4.6442765,-74.0536732,1308.593021695071,251.98353359101057,1.0,1.0,1.0,1.0,495.6076865832076,609.0353670346093,108.00389401242433,1.0
15000000,11.538461538461538,210.0,6.0,4.686079,-74.031921,384.8622676483604,359.2033239936705,1.0,1.0,1.0,1.0,420.4179985823775,336.92019579343525,360.34886074398565,1.0
30000000,23.076923076923077,400.0,6.0,4.693745,-74.026382,1282.3355862285246,628.1498871478157,1.0,1.0,1.0,1.0,574.4682769165232,557.0117900324252,634.8127848613805,1.0
11500000,8.846153846153847,396.0,6.0,4.658928394317627,-74.04714965820312,1309.826092247974,432.6319347883848,1.0,1.0,1.0,1.0,475.78172182539817,483.1670282504429,74.98256983843233,1.0
12000000,9.23076923076923,320.0,,4.67035648,-74.0449928,1432.7737147856785,53.288347280261846,1.0,1.0,1.0,6.0,616.0168343653178,445.63174813576023,134.5087985316549,1.0
13000000,10.0,418.85,6.0,4.678810823,-74.045663218,509.2866600540144,45.997839551144814,3.0,1.0,1.0,2.0,12.895060756870677,170.5698321643595,477.9801618265012,1.0
9000000,6.923076923076923,225.0,6.0,4.706533432006836,-74.04088592529297,1500.348405951005,291.1707481473851,1.0,1.0,1.0,1.0,247.1517945337946,249.74356866736485,267.05843910262513,1.0
3500000,2.6923076923076925,60.0,6.0,4.6785078048706055,-74.05281829833984,748.8509064470871,185.34575024859072,1.0,1.0,1.0,1.0,177.72644860093268,163.95362051847115,366.51245721653436,1.0
10716000,8.243076923076924,286.0,,4.681314715,-74.050753145,699.6275663233799,157.6362883785922,1.0,1.0,1.0,1.0,134.45932251131762,134.76609362582417,214.69289785433665,1.0
2100000,1.6153846153846154,22.0,5.0,4.720071315765381,-74.0477066040039,431.75176899503447,283.7620009841035,1.0,1.0,1.0,1.0,164.0303443168688,176.55350989593265,205.71024912042463,1.0
8000000,6.153846153846154,175.0,,4.671452207,-74.056580611,353.2175438721561,89.4144447149331,1.0,1.0,1.0,1.0,175.49343319787513,216.24000023779521,508.14305223190553,1.0
7100000,5.461538461538462,160.0,6.0,4.702354431152344,-74.04527282714844,1025.0677960601424,233.43391728770789,1.0,1.0,1.0,1.0,190.29185240491765,229.5650013708015,218.55227458911014,1.0
9300000,7.153846153846154,152.0,,4.687394142150879,-74.03815460205078,295.53876796088394,117.9315365973432,1.0,1.0,1.0,1.0,306.5996885656422,345.98825232819166,302.6293997758295,1.0
7500000,5.769230769230769,267.86,6.0,4.672995668,-74.049365634,1119.5654540465432,72.14017264301691,1.0,1.0,1.0,2.0,60.27394490731106,129.02777271589912,630.8476308773684,1.0
16000000,12.307692307692308,277.0,,4.72104,-74.02853,2523.3581382400084,209.6606428779137,1.0,1.0,1.0,1.0,471.7844165741171,152.53096624306352,176.93583654127454,1.0
3500000,2.6923076923076925,33.0,5.0,4.685842514038086,-74.04720306396484,396.04732390534184,265.15897141081354,1.0,1.0,1.0,1.0,62.83495645516725,189.56157203133645,48.779127795547474,1.0
11000000,8.461538461538462,170.0,,4.67775821685791,-74.04765319824219,696.897827226645,78.32328937197467,1.0,1.0,1.0,1.0,114.73835722894593,183.05217552215785,681.4881063187883,1.0
7000000,5.384615384615385,150.0,6.0,4.678099632263184,-74.04193115234375,651.8315551227337,382.75225859751913,1.0,1.0,1.0,1.0,298.9850745394609,327.4618965894931,241.14077971892493,1.0
13276000,10.212307692307693,320.0,6.0,4.674225807189941,-74.04243469238281,1034.8965687957307,484.72168680079255,1.0,1.0,1.0,1.0,547.770547403059,545.1767514599545,38.017132475251145,1.0
13276000,10.212307692307693,320.0,6.0,4.674225807189941,-74.04243469238281,1034.8965687957307,484.72168680079255,1.0,1.0,1.0,1.0,547.770547403059,545.1767514599545,38.017132475251145,1.0
7000000,5.384615384615385,150.0,6.0,4.678099632263184,-74.04193115234375,651.8315551227337,382.75225859751913,1.0,1.0,1.0,1.0,298.9850745394609,327.4618965894931,241.14077971892493,1.0
4500000,3.4615384615384617,52.0,6.0,4.681016445159912,-74.0564193725586,342.42951922118124,252.99156060348943,1.0,1.0,1.0,1.0,104.71451319645362,73.53212522039254,110.39920825897485,1.0
1328000,1.0215384615384615,46.0,3.0,4.62566614151001,-74.12268829345703,113.76009593817466,154.1198329038568,1.0,1.0,1.0,1.0,219.0838962370968,191.69422256179777,93.73208128448687,1.0
9300000,7.153846153846154,133.0,6.0,4.663039207458496,-74.04692840576172,1468.07385125511,207.51857173829268,1.0,1.0,1.0,1.0,130.90379080584916,146.01512383901752,25.882787693043742,1.0
